term,or,or_low,or_high
clusterMid,0.4194091541034218,0.3697320140071246,0.47576090758091133
clusterHigh,0.1766373761880309,0.14025205519177472,0.2224620710472253
ghg_tco2_pc,1.1316040815979511,0.9382301529027545,1.3648333444916116
res_share_pc,0.7629414553519432,0.625627325109276,0.9303936080363361
gdp_const20_eur_pc,0.8676549388317553,0.7110969228185298,1.0586814099760296
gndrFemale,0.9972689789623096,0.9165074767400818,1.0851470846021007
age,1.001906645739946,0.994245735951551,1.009626584736779
eisced,0.9320053645846457,0.9112138249494917,0.9532713133086039
hinctnta,1.0279049616965763,0.9951507567835474,1.0617372323520784
w1xq3,1.158870055655955,1.0942286675635289,1.2273301236809953
hincfel,1.5227458709311208,1.1368064748040472,2.0397095185769984
1|2,0.14111879149497242,0.042755585454944935,0.46577571330386897
2|3,0.7694979405684752,0.2583176394841884,2.2922440826011368
3|4,3.0680027977489597,0.9728607214636732,9.675219647920501
4|5,9.591708918210307,3.1950039349345736,28.795232132807723
