outcome,term,or,or_low,or_high
w1gq13,clusterMid,0.4194091541034218,0.3697320140071246,0.47576090758091133
w1gq13,clusterHigh,0.1766373761880309,0.14025205519177472,0.2224620710472253
w1gq13,ghg_tco2_pc,1.1316040815979511,0.9382301529027545,1.3648333444916116
w1gq13,res_share_pc,0.7629414553519432,0.625627325109276,0.9303936080363361
w1gq13,gdp_const20_eur_pc,0.8676549388317553,0.7110969228185298,1.0586814099760296
w1gq13,gndrFemale,0.9972689789623096,0.9165074767400818,1.0851470846021007
w1gq13,age,1.001906645739946,0.994245735951551,1.009626584736779
w1gq13,eisced,0.9320053645846457,0.9112138249494917,0.9532713133086039
w1gq13,hinctnta,1.0279049616965763,0.9951507567835474,1.0617372323520784
w1gq13,w1xq3,1.158870055655955,1.0942286675635289,1.2273301236809953
w1gq13,hincfel,1.5227458709311208,1.1368064748040472,2.0397095185769984
w1gq13,1|2,0.14111879149497242,0.042755585454944935,0.46577571330386897
w1gq13,2|3,0.7694979405684752,0.2583176394841884,2.2922440826011368
w1gq13,3|4,3.0680027977489597,0.9728607214636732,9.675219647920501
w1gq13,4|5,9.591708918210307,3.1950039349345736,28.795232132807723
w1gq14,clusterMid,0.33613659671493074,0.2698551862979213,0.41869794389038323
w1gq14,clusterHigh,0.1620137417231769,0.1172918613989977,0.2237875006335996
w1gq14,ghg_tco2_pc,1.034175437643224,0.7128852899882959,1.5002677861989733
w1gq14,res_share_pc,0.7981833354099347,0.6089166209441126,1.0462789403552875
w1gq14,gdp_const20_eur_pc,1.2763022768791477,0.9270032223211084,1.7572188129920423
w1gq14,gndrFemale,1.128376410510071,0.9903327721411322,1.2856621123855365
w1gq14,age,1.0031968359100096,0.998872440169777,1.0075399531583809
w1gq14,eisced,0.9303352041380643,0.8901546933029302,0.9723294148425792
w1gq14,hinctnta,0.9834849979877783,0.9545795342334036,1.01326574327176
w1gq14,w1xq3,1.0377395767549824,0.9707614340300619,1.1093389080084335
w1gq14,hincfel,1.1240258344874958,0.9761128071350584,1.294352524995093
w1gq14,1|2,0.15737099723966544,0.09377112831890572,0.2641072067297888
w1gq14,2|3,1.1041618333349352,0.7079712684110067,1.72206614673773
w1gq14,3|4,4.6428584416223675,3.144508834163717,6.855167419072281
w1gq14,4|5,11.636457328770284,7.412164582589431,18.268231588158734
w1gq15,clusterMid,0.4280082021394613,0.38322537636158055,0.4780242447353217
w1gq15,clusterHigh,0.20677897357972863,0.17709765255716792,0.24143484285249794
w1gq15,ghg_tco2_pc,0.9554419470132274,0.8209666654531742,1.111944433953993
w1gq15,res_share_pc,0.9680142529885848,0.8729187788587169,1.073469395645469
w1gq15,gdp_const20_eur_pc,0.9143935320351314,0.7785774923171709,1.0739014930155117
w1gq15,gndrFemale,0.9244811042083747,0.7221961436300509,1.183425471842651
w1gq15,age,0.9969558787877184,0.991008472903859,1.0029389772390125
w1gq15,eisced,0.9357209752571543,0.8932702169945886,0.9801891150945024
w1gq15,hinctnta,1.0065881569284694,0.9435509667879335,1.0738367648733254
w1gq15,w1xq3,1.0375946433949088,1.0118771250100707,1.063965789315667
w1gq15,hincfel,1.2565065447051982,0.9392069997912862,1.6810018422326967
w1gq15,1|2,0.12241611587532819,0.05485523983988693,0.2731863987787218
w1gq15,2|3,0.7304521370650928,0.2902056576170757,1.8385593476161315
w1gq15,3|4,3.1786232772225964,1.2422874628036955,8.133098208766102
w1gq15,4|5,12.432580541752616,3.3369923740482803,46.31987178911349
w1gq16,clusterMid,0.3599086317038011,0.293924543197216,0.44070570550479043
w1gq16,clusterHigh,0.11141437261517471,0.08025630501218223,0.15466899981688392
w1gq16,ghg_tco2_pc,0.9919610555551933,0.8432126648191275,1.1669496638184895
w1gq16,res_share_pc,0.8883639000804678,0.7046963559236111,1.1199013764330115
w1gq16,gdp_const20_eur_pc,0.9818119832839612,0.7823356179227302,1.232149921896044
w1gq16,gndrFemale,1.064604753785045,0.9429896409606352,1.2019042760927094
w1gq16,age,0.992935566096844,0.9824184646274139,1.0035652564754822
w1gq16,eisced,0.9363248642119415,0.8866409359012891,0.988792887675914
w1gq16,hinctnta,0.9619809147713545,0.9185122986261008,1.0075066841985074
w1gq16,w1xq3,1.0271615240738774,0.9017195970316105,1.1700541942428082
w1gq16,hincfel,1.5302346898601755,1.1567605207029903,2.0242895259153655
w1gq16,1|2,0.02278512235650723,0.009367257573632125,0.055423030350141476
w1gq16,2|3,0.2862353424347463,0.1121507931193793,0.7305402751055456
w1gq16,3|4,1.5496172866141624,0.4986541807138317,4.815589295844104
w1gq16,4|5,6.182977752051665,2.0961618874381145,18.237720145312252
